settlement,region,population
Старые-Атаги,Чеченская республика,12494
Калининаул,Республика Дагестан,5540
Краснокаменка,Республика Крым,2201
Верхний Акбаш,Кабардино-Балкарская республика,2560
Новые Параты,Республика Марий Эл,1208
Ольховка,Волгоградская область,5616
Петровское,Воронежская область,1682
Рукель,Республика Дагестан,2352
Кара-Тюбе,Ставропольский край,2800
Колывань,Новосибирская область,12285
Токи,Хабаровский край,2143
Березовка,Омская область,3338
Большое Руново,Московская область,1310
Гонода,Республика Дагестан,1590
Поречье,Псковская область,1061
Троицкое,Свердловская область,1957
Титовка,Брянская область,1004
Плешково,Алтайский край,1227
Тамань,Краснодарский край,9908
Ручей,Владимирская область,1086
Желанное,Омская область,1687
Андреевский,Ставропольский край,1200
опытного хоз-ва Ермолино,Московская область,1334
Осьмино,Ленинградская область,1431
Троицк,Республика Мордовия,1352
Никольское,Астраханская область,6074
Кузнецово,Нижегородская область,1357
Черусти,Московская область,2862
Тухчар,Республика Дагестан,5109
Радченское,Воронежская область,1197
Новоселовка,Ростовская область,1689
Ваховск,Ханты-Мансийский автономный округ - Югра,1453
Туртас,Тюменская область,5638
Харыялах,Республика Саха (Якутия),2133
Тамала,Пензенская область,6573
Новый,Камчатский край,1329
Тищенское,Ставропольский край,3000
Енганаево,Ульяновская область,1017
Ильинское,Тверская область,2049
Эникали,Чеченская республика,1221
Камышенка,Алтайский край,2463
Новоцелинное,Новосибирская область,1177
Новый Уркарах,Республика Дагестан,1101
Сахарово,Тверская область,3919
Сийидкент,Республика Дагестан,1262
Заветы Ильича,Саратовская область,1054
Талица,Липецкая область,1073
Новоивановка,Республика Крым,2085
Знаменка,Алтайский край,1037
Кривояр,Саратовская область,1170
Дружино,Омская область,3893
Миатли,Республика Дагестан,4645
Новопокровский,Краснодарский край,1732
Зимино,Алтайский край,1314
Тисуль,Кемеровская область,9501
Ромашкино,Республика Крым,1427
Острожка,Пермский край,1313
Муцалаул,Республика Дагестан,7576
Тэгда,Республика Бурятия,1650
Островского,Ростовская область,1174
Орловка,Омская область,1580
Усухчай,Республика Дагестан,1866
Андреевка,Севастополь,1440
Сафоново,Мурманская область,5350
Ургубамахи,Республика Дагестан,1069
Васькино,Московская область,1641
Частоостровское,Красноярский край,1283
Намцы,Республика Саха (Якутия),10154
Мирской,Краснодарский край,3004
Новорайчихинск,Амурская область,1853
Нижнесакмарский,Оренбургская область,2157
Красноармейский,Волгоградская область,1212
Алексиковский,Волгоградская область,1589
Логовское,Алтайский край,1402
Приобье,Ханты-Мансийский автономный округ - Югра,7074
Сборный,Самарская область,1060
Долинка,Республика Крым,1315
Кулотино,Новгородская область,2485
Дубровки,Московская область,1219
Нелидово,Тверская область,18884
Большие Колпаны,Ленинградская область,4103
Башмаково,Пензенская область,9880
Середниково,Московская область,1243
Тихоновка,Республика Татарстан,1799
Пиндуши,Республика Карелия,4473
Заветное,Ставропольский край,3900
Шувакиш,Свердловская область,1067
Ботаюрт,Республика Дагестан,4069
Перелюб,Саратовская область,4362
Старобачаты,Кемеровская область,4251
Косякино,Республика Дагестан,1566
Табынское,Республика Башкортостан,2021
Опытный,Чувашская республика,1566
Суадаг,Республика Северная Осетия - Алания,1176
Пчегатлукайское,Республика Адыгея,2001
Яр,Свердловская область,1520
Иркутск,Иркутская область,623479
Троицкий,Белгородская область,6023
Оренбург,Оренбургская область,561686
Алексеевка,Красноярский край,1050
Пуровск,Ямало-Ненецкий автономный округ,2701
Елань-Коленовский,Воронежская область,3719
Заречье,Калужская область,1016
Цияб Ичичали,Республика Дагестан,2467
Талицкий Чамлык,Липецкая область,1807
Поперечное,Кемеровская область,1161
Дмитриевка,Тамбовская область,7967
Каменная Балка,Ростовская область,1215
Тосно,Ленинградская область,39101
Цудахар,Республика Дагестан,1774
Красный Восход,Пермский край,1298
Кварса,Удмуртская республика,1673
Отрадное,Воронежская область,8350
Новый Городок,Московская область,11872
Полоное,Псковская область,1793
Шурскол,Ярославская область,2076
Молодежный,Хабаровский край,1252
Вышний Волочек,Тверская область,46211
Сатинка,Тамбовская область,3313
Горный,Оренбургская область,1179
Клевакинское,Свердловская область,2157
Безымянное,Саратовская область,1660
Печора,Республика Коми,38014
Мещерино,Московская область,4023
Казачий Брод,Краснодарский край,1418
Гурбуки,Республика Дагестан,6077
Урсаево,Республика Татарстан,1141
Маячное,Астраханская область,1825
Нижняя Пойма,Красноярский край,9000
Масленниково,Самарская область,1498
Тальменка,Новосибирская область,1798
Грачёвка,Орловская область,1082
Косулино,Свердловская область,2644
Хурба,Хабаровский край,6298
Большое Алексеевское,Московская область,1449
Наровчат,Пензенская область,3673
Похвистнево,Самарская область,28044
Выдрино,Республика Бурятия,4674
Хабарное,Оренбургская область,1827
Богашево,Томская область,3963
Садовое,Воронежская область,4025
Екатериновка,Краснодарский край,2801
Светлое Озеро,Республика Татарстан,1252
Хара-Шибирь,Забайкальский край,1483
Ильинское,Московская область,7930
Орловское,Республика Крым,1014
Ново-Ленино,Иркутская область,1123
Плеханово,Тульская область,9775
Широкая Речка,Свердловская область,1150
Троицкое,Алтайский край,9915
Арзгир,Ставропольский край,14100
Зеленогорское,Республика Крым,1877
Ашага-Стал,Республика Дагестан,2849
Бира,Еврейская автономная область,2889
Богословка,Омская область,1519
Нижнее Хорошово,Московская область,1620
Данково,Воронежская область,1269
Первомайский,Республика Башкортостан,2868
Ключевский,Забайкальский край,1183
Фонталовская,Краснодарский край,1294
Чулково,Рязанская область,1360
Кульдур,Еврейская автономная область,1465
Подгоренский,Воронежская область,5647
Карлыханово,Республика Башкортостан,1122
Северный,Челябинская область,1728
Елань,Свердловская область,2003
Каново,Ставропольский край,1500
Киевское,Краснодарский край,6518
Бишкаин,Республика Башкортостан,1202
Драгунское,Белгородская область,1343
Ивановка,Алтайский край,1111
Теньки,Республика Татарстан,1254
Кондоль,Пензенская область,2923
Большое Козино,Нижегородская область,6495
Новоархангелка,Омская область,1074
Красная Зорька,Республика Крым,2777
Гой-чу,Чеченская республика,5475
Александровка,Ростовская область,7553
Шестаково,Воронежская область,1743
Дмитровка,Республика Крым,1090
Усть-Качка,Пермский край,3898
Лапыгино,Белгородская область,1134
Саблинское,Ставропольский край,2800
Тойбохой,Республика Саха (Якутия),1442
Казмаул,Республика Дагестан,1336
Девица,Воронежская область,5719
Барятино,Калужская область,3194
Тулугановка,Астраханская область,1382
Шаркан,Удмуртская республика,6875
Белово,Кемеровская область,61012
Первомайское,Республика Крым,13597
Гражданский,Краснодарский край,1784
Н.Беной,Чеченская республика,1735
Чемульга,Республика Ингушетия,1120
Красное,Брянская область,1611
Рязанские Сады,Рязанская область,1033
Новозахаркино,Саратовская область,1308
Кирово,Саратовская область,1390
Саргазы,Челябинская область,2242
Обуховка,Ростовская область,1043
Архангельск,Архангельская область,348343
Ленинский,Республика Башкортостан,82540
Яшкино,Кемеровская область,13489
Восход,Новосибирская область,2161
Реутов,Московская область,87314
Юбилейный,Вологодская область,1980
Рындино,Чувашская республика,1126
Центральный,Кемеровская область,1285
Амазар,Забайкальский край,2247
Верхнее Дуброво,Свердловская область,5047
Новоуральск,Оренбургская область,1112
Хтун-Казмаляр,Республика Дагестан,1509
Ковров,Владимирская область,138552
Юрцово,Московская область,1214
Умет,Волгоградская область,1150
Шава,Республика Дагестан,1252
Темижбекский,Ставропольский край,3900
Калининский,Республика Башкортостан,199926
Верблюжье,Омская область,1023
Ковыльное,Республика Крым,1174
Лопатино,Самарская область,2783
Гильяр,Республика Дагестан,2078
Двуречье,Новосибирская область,3300
Краснореченское,Хабаровский край,2356
Алупка,Республика Крым,7771
Александров Гай,Саратовская область,9232
Красная Горка,Республика Башкортостан,4469
Ровное,Республика Крым,1498
Полысаево,Кемеровская область,26012
Александровка,Красноярский край,2299
Пригородный,Тверская область,1575
Слобода,Вологодская область,1572
Наровчатка,Челябинская область,1835
Гигант,Ростовская область,10478
Тамазатюбе,Республика Дагестан,2511
Филино,Ивановская область,2904
Новоуральский,Омская область,1402
Нижняя Добринка,Волгоградская область,2392
Николаевка,Амурская область,1972
Ульяновское,Чеченская республика,1229
Шенджийское,Республика Адыгея,2058
Авдеевка,Тамбовская область,1155
Увары,Астраханская область,1009
Иванищи,Владимирская область,1744
Нижнекамск,Республика Татарстан,180050
Хрустальный,Приморский край,2800
Гелдаган,Чеченская республика,13876
Корсаков,Сахалинская область,33645
Родниковская,Краснодарский край,8476
Озерки,Калининградская область,2498
Эминхюр,Республика Дагестан,3374
Лев Толстой,Липецкая область,8362
Новониколаевка,Оренбургская область,1279
Юбилейный,Пермский край,1122
Южный,Калининградская область,2365
Малая Топка,Иркутская область,2224
Новогригорьевка,Республика Крым,1155
Белогорск,Республика Крым,60479
Передовой,Ставропольский край,2800
Углово,Ленинградская область,1654
Васильевка,Орловская область,1177
Нестерово,Московская область,3050
Тимирязевское,Республика Адыгея,3826
Чермен,Республика Северная Осетия - Алания,6066
Цивильск,Чувашская республика,14750
Строитель,Тамбовская область,19265
Верхний Курп,Кабардино-Балкарская республика,1473
Западный,Краснодарский край,3153
Подлубово,Республика Башкортостан,1102
Селиваниха,Красноярский край,2084
Претория,Оренбургская область,1115
Каменный,Краснодарский край,1106
Сарапул,Удмуртская республика,96361
Инзер,Республика Башкортостан,4331
Свинооткормочного хоз-ва Прогресс 1-е от,Краснодарский край,4401
Вольное,Астраханская область,1957
Уварово,Тамбовская область,23578
Думиничи,Калужская область,6564
Карымское,Забайкальский край,16937
Гоньба,Алтайский край,2174
Петровка,Оренбургская область,1060
Азанка,Свердловская область,2587
Буланиха,Алтайский край,2621
Ивановка,Красноярский край,3019
Горки,Калужская область,1002
Воскресенское,Ивановская область,1524
Никулино,Московская область,1851
Чегем-Второй,Кабардино-Балкарская республика,11465
Семенково,Вологодская область,1790
Лазо,Приморский край,4553
Сятракасы,Чувашская республика,2564
Бехтеевка,Белгородская область,3265
Буреть,Иркутская область,1641
Вагайцево,Новосибирская область,2391
Мегет,Иркутская область,8905
Йошкар-Ола,Республика Марий Эл,268277
Трескино,Пензенская область,1759
Зарубино,Костромская область,1537
Советская,Ставропольский край,7900
Братовщина,Липецкая область,1126
Яр-Сале,Ямало-Ненецкий автономный округ,7413
Милославское,Рязанская область,4312
Малая Вишера,Новгородская область,10206
Шахунья,Нижегородская область,19834
Троицкое,Оренбургская область,2455
Новоназимово,Красноярский край,1054
Вяткино,Владимирская область,1428
Широкий Буерак,Саратовская область,1213
Любим,Ярославская область,4710
Стодеревская,Ставропольский край,1700
Ильинка,Астраханская область,4947
Лоскутово,Томская область,3818
Называевск,Омская область,11249
Зверосовхоз,Мурманская область,1462
Магазинка,Республика Крым,1168
Назарьево,Московская область,3129
Новый Редант,Республика Ингушетия,4472
Покровка,Самарская область,1515
Сосновка,Республика Башкортостан,2205
Батех,Кабардино-Балкарская республика,1318
Морозовка,Омская область,2784
Бельское,Республика Башкортостан,1045
Петрово,Московская область,1051
Шексна,Вологодская область,15272
Первомайский,Владимирская область,1960
Камышев,Ростовская область,1252
Комсомольский,Волгоградская область,3546
Каменный Брод,Самарская область,1115
Пионерское,Республика Крым,12344
Саранск,Республика Мордовия,318578
Надеждино,Омская область,1924
Пролетарка,Ростовская область,1070
Октябрьский,Кемеровская область,1437
Мостовое,Удмуртская республика,1217
Суворово,Республика Крым,1911
Курчанская,Краснодарский край,6486
Засечное,Пензенская область,19018
Замостье,Белгородская область,1134
Эрги-Барлык,Республика Тыва,1514
Саввушка,Алтайский край,1053
Добринка,Волгоградская область,2518
Поповка,Воронежская область,3260
Александрийская,Республика Дагестан,2578
Ключи,Саратовская область,2256
Халилово,Республика Башкортостан,1218
Великодворский,Владимирская область,1751
Веселый,Республика Адыгея,1242
Красная Горка,Республика Татарстан,1340
Теткино,Курская область,3438
Рождественка,Новосибирская область,1393
Светлополянск,Кировская область,2636
Ергач,Пермский край,1648
Дмитриевка,Самарская область,1307
Ситниково,Тюменская область,1915
Беранда,Краснодарский край,1035
Межгюль,Республика Дагестан,1215
Годобери,Республика Дагестан,3059
Родники,Пермский край,1552
Абрамово,Нижегородская область,2001
Новопокровка,Омская область,1074
Новоаннинский,Волгоградская область,16294
Октябрьский,Тульская область,6075
Целинный,Алтайский край,1948
Вершина Тёи,Республика Хакасия,3141
Куликовы Копани,Ставропольский край,1200
Кончезеро,Республика Карелия,1316
Бураево,Республика Башкортостан,8777
Донское,Калининградская область,2889
Плоское,Смоленская область,1271
Первомайский,Ставропольский край,4706
Марага,Республика Дагестан,1491
Штанигурт,Удмуртская республика,1254
Никольск,Пензенская область,20056
Старая Вичуга,Ивановская область,4811
Дарг-Кох,Республика Северная Осетия - Алания,2166
Касимово,Ленинградская область,1302
Вавож,Удмуртская республика,5692
Ола,Магаданская область,6117
Шангалы,Архангельская область,2387
Янино-1,Ленинградская область,8914
Змеиногорск,Алтайский край,10321
Анцирь,Красноярский край,1262
Уршельский,Владимирская область,3224
Петровск,Саратовская область,28526
Первомайский,Нижегородская область,1652
Горный,Ростовская область,1315
Северный-Коспашский,Пермский край,1278
Привольный,Ростовская область,2620
Подгорная,Ставропольский край,5900
Старые Решеты,Свердловская область,1057
Красноармейский,Ростовская область,4192
Горячеводский,Ставропольский край,36761
Льгово,Рязанская область,1739
Шедок,Краснодарский край,2704
Тастуба,Республика Башкортостан,1252
Косой Брод,Свердловская область,1398
Демихово,Московская область,5565
Конево,Нижегородская область,1199
Солнцево,Курская область,3772
Первомайский,Тульская область,11832
Фроловка,Приморский край,1141
Богданович,Свердловская область,29311
Комсомольское,Чеченская республика,13209
Куминский,Ханты-Мансийский автономный округ - Югра,2168
Учкекен,Карачаево-Черкесская республика,17059
Тбилисская,Краснодарский край,25090
Соколовское,Краснодарский край,2862
Оконешниково,Омская область,4817
Сосновское,Нижегородская область,8195
Новый,Республика Татарстан,2142
Дачное,Республика Северная Осетия - Алания,2717
Порошино,Кировская область,1193
Аркуль,Кировская область,1522
Первомайск,Нижегородская область,14179
Георгиевка,Омская область,1652
отделения N3 СКЗНИИСиВ,Краснодарский край,4203
Кенделен,Кабардино-Балкарская республика,6366
Цоци-Юрт,Чеченская республика,20629
Демьянка,Тюменская область,2783
Ендовище,Воронежская область,1812
Шумерля,Чувашская республика,29872
Шенкурск,Архангельская область,4687
Романовка,Саратовская область,7107
Нурадилово,Республика Дагестан,4440
Угдан,Забайкальский край,1317
Большекрепинская,Ростовская область,1866
Лебедевка,Челябинская область,1082
Добринка,Липецкая область,8927
Медяна,Нижегородская область,1312
Бекетовка,Ульяновская область,1371
Ильинка,Хабаровский край,3164
Георгиевка,Самарская область,3767
Трудовая,Московская область,2545
Старосеславино,Тамбовская область,1106
Галюгаевская,Ставропольский край,2800
Пухляковский,Ростовская область,1842
Троицкое,Орловская область,1391
Токаево,Чувашская республика,1844
Волчиха,Алтайский край,10873
Новосиньково,Московская область,8073
Подольхи,Белгородская область,1122
Стрехнино,Тюменская область,4295
Туран,Республика Тыва,5309
Хотилово,Тверская область,1033
Парапино,Республика Мордовия,1353
Битки,Новосибирская область,1125
Вахрушев,Сахалинская область,1722
Васильевка,Ростовская область,1042
Степное,Саратовская область,13611
Соколово,Московская область,1100
Красавино,Вологодская область,6240
Александровка,Саратовская область,4004
Коса,Пермский край,2531
Красный Мак,Республика Крым,1663
Кавкамахи,Республика Дагестан,2263
Эгвекинот,Чукотский автономный округ,2897
Мугарты,Республика Дагестан,1742
Ветлянка,Оренбургская область,1013
Краснолесье,Республика Крым,1061
Удачный,Республика Саха (Якутия),11960
Боево,Воронежская область,2075
Рахата,Республика Дагестан,2972
Поповка,Ростовская область,1978
Зарудня,Московская область,1572
Каргали,Республика Татарстан,1986
Нижнегорский,Республика Крым,8741
Никольское,Ленинградская область,22310
Алагир,Республика Северная Осетия - Алания,36763
Хиславичи,Смоленская область,4123
Угловка,Новгородская область,2458
Лесной,Свердловская область,49238
Исмаилово,Республика Башкортостан,1917
Белый Яр,Томская область,8672
Переправная,Краснодарский край,3220
Борки,Новгородская область,1483
Зарубино,Приморский край,2657
Хамидие,Кабардино-Балкарская республика,1712
Серебряный Бор,Республика Саха (Якутия),3059
Тарбагатай,Республика Бурятия,5810
Селижарово,Тверская область,5914
Ромашки,Волгоградская область,1225
Чистополь,Республика Татарстан,61761
Алексеевка,Челябинская область,1132
Сургут,Самарская область,4518
Большой Исток,Свердловская область,7281
Мирный,Алтайский край,3602
Новогремяченское,Воронежская область,1730
Романовка,Ленинградская область,7858
Новое Дрожжаное,Республика Татарстан,1131
Садовый,Свердловская область,3256
Пионер,Пензенская область,1870
Залесье,Республика Крым,1063
Веселый,Иркутская область,1228
Вихлянцево,Волгоградская область,1087
Чукалы,Республика Мордовия,1131
Елховка,Нижегородская область,1324
Мамакан,Иркутская область,1516
Мурзицы,Нижегородская область,2253
Судоверфь,Ярославская область,2225
Кадышево,Республика Татарстан,2408
Воздвиженка,Оренбургская область,1841
Кукмор,Республика Татарстан,17428
Советский,Саратовская область,1040
Спокойная,Краснодарский край,5197
Старолеушковская,Краснодарский край,4978
Кольчугино,Республика Крым,3992
Залесный,Республика Татарстан,10993
Новый Чиркей,Республика Дагестан,6705
Миасский,Челябинская область,1662
Новополтавский,Ростовская область,1107
Приволжск,Ивановская область,15824
Беловское,Белгородская область,2514
Елизаветинская,Краснодарский край,35424
Матвеевка,Хабаровский край,3315
Шипицыно,Омская область,1115
Заря,Краснодарский край,3413
Семеновка,Республика Марий Эл,6652
Мурино,Ленинградская область,48822
Сергеевка,Приморский край,9612
Туймазы,Республика Башкортостан,68410
Прибрежный,Саратовская область,1411
Работки,Нижегородская область,1619
Побегайловка,Ставропольский край,2400
Титово,Кемеровская область,1039
Навля,Брянская область,14301
Братковское,Краснодарский край,1175
Адыге-Хабль,Карачаево-Черкесская республика,3872
Малеевка,Московская область,1220
Гавриловка 2-я,Тамбовская область,2783
Путевка,Брянская область,6122
Родничок,Саратовская область,1107
Самилах,Республика Дагестан,1417
Железнодорожный,Нижегородская область,2486
Мирный,Саратовская область,1076
Суворовское,Республика Крым,3200
Койдин,Республика Коми,1219
Объячево,Республика Коми,9457
Арылах,Республика Саха (Якутия),3426
Виллози,Ленинградская область,4227
Кутлу-Букаш,Республика Татарстан,1319
Дульдурга,Забайкальский край,6489
Каленово,Республика Бурятия,1001
Уховский,Иркутская область,1041
Русский,Приморский край,6883
Андреевский,Тюменская область,2136
Ярославка,Тамбовская область,1237
Кипель,Курганская область,1065
Суслонгер,Республика Марий Эл,2829
Краевско-Армянское,Краснодарский край,1819
Борисово,Кемеровская область,1463
Солидарность,Липецкая область,2446
Известковый,Хабаровский край,1349
Пойменный,Астраханская область,1482
Александровка,Волгоградская область,2521
Бор,Нижегородская область,58132
Архангельское,Тульская область,3912
Харлово,Алтайский край,1230
свх Воробьевский Центральная усадьба,Воронежская область,1024
Полярный,Мурманская область,15663
Кострома,Костромская область,280466
Большевик,Ставропольский край,2100
Колос,Саратовская область,1235
Шапкино,Тамбовская область,1135
Малая Каменка,Ростовская область,1410
Пирогово,Московская область,1053
Червоное,Республика Крым,2428
Преображенский,Красноярский край,1708
Тайсуганово,Республика Татарстан,1174
Александровка,Самарская область,4636
Красный Бор,Нижегородская область,1538
Мирный,Тверская область,2051
Волово,Липецкая область,3270
Казачий,Краснодарский край,1511
Кубань,Краснодарский край,3500
Сорочий Лог,Алтайский край,1223
Турунтаево,Республика Бурятия,6090
Железноводск,Ставропольский край,24950
Бетлица,Калужская область,3734
Кощаково,Республика Татарстан,1698
Ново-Полтавское,Кабардино-Балкарская республика,1181
Шаралдай,Республика Бурятия,1281
Ордынское,Новосибирская область,9874
Победное,Республика Крым,3169
Южное,Республика Ингушетия,1301
Комсомольск,Кемеровская область,2145
Первомайское,Республика Башкортостан,2214
Карлинское,Ульяновская область,2814
Костомукша,Республика Карелия,29381
Черная,Пермский край,1208
Плодовое,Республика Крым,1641
Шаран,Республика Башкортостан,5735
Исетское,Тюменская область,7800
Росва,Калужская область,1536
Подпорожье,Ленинградская область,16866
Куженкино,Тверская область,2944
Помары,Республика Марий Эл,1852
Бесленеевская,Краснодарский край,1543
Нижний-Нойбер,Чеченская республика,8275
Бобровка,Саратовская область,1505
Макеево,Московская область,1417
Гехи-Чу,Чеченская республика,2601
Рассвет,Республика Дагестан,1216
Падь Мельничная,Иркутская область,2918
Веселый,Ростовская область,14800
Головачево,Московская область,1056
Маякское,Оренбургская область,1126
Усть-Кемь,Красноярский край,1160
Кулун,Красноярский край,1338
Чапаево,Республика Хакасия,2259
Дивное,Ставропольский край,13400
Красноселькуп,Ямало-Ненецкий автономный округ,3907
Петухово,Курганская область,18705
Вознесенка,Новосибирская область,1577
Сосновка,Иркутская область,2146
Зареченский,Орловская область,1835
Кавалерский,Ростовская область,2452
Старая Русса,Новгородская область,28464
Дмитриевка,Оренбургская область,1299
Волченки,Московская область,1135
Сорокино,Белгородская область,1425
Хлевное,Липецкая область,5983
Красное Знамя,Ростовская область,1279
Кизильское,Челябинская область,6196
Новоселово,Красноярский край,6019
Кубинка,Московская область,22964
Ольховатка,Белгородская область,1411
Тураг,Республика Дагестан,1164
Венгерово,Новосибирская область,6707
Глафировка,Краснодарский край,1543
Позариха,Свердловская область,2273
Чур,Удмуртская республика,2087
Полевое,Алтайский край,1134
Вещево,Ленинградская область,1948
Горелое,Тамбовская область,3780
Воскресенское,Нижегородская область,6725
Кызыл-Уруп,Карачаево-Черкесская республика,1306
Уста,Нижегородская область,2645
Школьный,Краснодарский край,1260
Ладушкин,Калининградская область,4088
Тарки,Республика Дагестан,15609
Боровёнка,Новгородская область,1267
Воейково,Ленинградская область,1126
Шапши,Республика Татарстан,1320
Буглен,Республика Дагестан,2077
Ясный,Архангельская область,1054
Большая Джалга,Ставропольский край,3000
Юлдашево,Республика Башкортостан,1463
Красноярка,Омская область,5269
Газырь,Краснодарский край,2621
Варваровка,Краснодарский край,2748
Карабудахкент,Республика Дагестан,18533
Култук,Иркутская область,4290
Ермаково,Ярославская область,2587
Калязин,Тверская область,12770
Павловская Слобода,Московская область,6330
Волчанск,Свердловская область,9228
Пионерский,Калининградская область,11352
Лопатино,Калужская область,1120
Александровка,Омская область,2087
Табачное,Республика Крым,2884
Тепличный,Республика Хакасия,1849
Лукино,Нижегородская область,4217
Молочное,Республика Крым,3090
Лаврово,Орловская область,1632
Глебовское,Ярославская область,1011
Октябрьский,Алтайский край,4840
Шипуново,Алтайский край,13555
Бородино,Красноярский край,18293
Усть-Шоноша,Архангельская область,1125
Кохановское,Республика Дагестан,1074
Пролетарий,Новгородская область,5034
Середняя,Костромская область,1331
Икша,Московская область,3721
Самагалтай,Республика Тыва,3347
Герпегеж,Кабардино-Балкарская республика,1291
Славянское,Республика Крым,1236
Падун,Тюменская область,1856
Храброво,Калининградская область,1554
Чураево,Республика Башкортостан,1493
Садовое,Республика Калмыкия,5845
Пробуждение,Саратовская область,3339
Песковатка,Волгоградская область,2234
Боровичи,Новгородская область,50144
Рассвет,Краснодарский край,2912
Починок,Смоленская область,8782
Гальчино,Московская область,3066
Шихазаны,Чувашская республика,2979
Октябрьский,Хабаровский край,5653
Заревское,Республика Адыгея,2584
Кужорская,Республика Адыгея,3578
Салаирка,Тюменская область,1041
Никольское,Белгородская область,3939
Полевской,Свердловская область,69041
Старая Рачейка,Самарская область,1951
Бердск,Новосибирская область,104237
Верхний Авзян,Республика Башкортостан,1454
Новая Ольховка,Московская область,2009
Киреево,Волгоградская область,1020
Красноармейское,Саратовская область,1156
Чесма,Челябинская область,6334
Разумное,Белгородская область,18319
Заря,Вологодская область,1004
Горшечное,Курская область,5295
Андрей-Курган,Ставропольский край,1500
Уфимский,Свердловская область,1350
Рощинский,Республика Башкортостан,2136
Архангельское,Пензенская область,1323
Вартемяги,Ленинградская область,3702
Малореченское,Республика Крым,1313
Вахруши,Кировская область,10226
Тарасово,Кемеровская область,1168
Житное,Астраханская область,1819
Садовое,Амурская область,2033
Тоннельный,Ставропольский край,1400
Королев,Московская область,216639
Кабожа,Новгородская область,1026
Кондинское,Ханты-Мансийский автономный округ - Югра,2790
Джаванкент,Республика Дагестан,1080
Ноглики,Сахалинская область,10151
Карамышево,Алтайский край,1102
Утевка,Самарская область,6149
Никольское,Красноярский край,1780
Стрижи,Кировская область,3626
Новорудный,Оренбургская область,1672
Помоздино,Республика Коми,1435
Попово,Московская область,1997
Песчанка,Белгородская область,2779
Идринское,Красноярский край,5135
Рудный,Приморский край,2531
Новоурусовка,Астраханская область,1239
